title,published_dt,sources,sections,urls
Medicare Advantage plan facing termination challenges star ratings methodology,2024-03-27T21:23:02-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/cms-faces-another-challenge-of-medicare-advantage-star-ratings-methodology
Medicare Advantage in the headlines: 8 recent updates,2024-03-27T21:19:58-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/medicare-advantage-in-the-headlines-8-recent-updates-4
"6 most innovative payers, per Fortune",2024-03-27T20:50:30-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/6-most-innovative-payers-per-fortune
"7 recent payer lawsuits, settlements",2024-03-27T18:33:07-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/7-recent-payer-lawsuits-settlements-3
UnitedHealth looks to power nearly 90% of U.S. business through solar,2024-03-26T22:11:42-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/unitedhealth-looks-to-power-nearly-90-of-u-s-business-through-solar
What 5 recent studies found about Medicare Advantage,2024-03-26T21:55:38-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/what-5-recent-studies-found-about-medicare-advantage-3
"When it comes to Medicare Advantage, couples stick together",2024-03-26T21:17:08-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/when-it-comes-to-medicare-advantage-couples-stick-together
Molina's 5 highest-earning executives in 2023,2024-03-25T18:54:34-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/molinas-5-highest-earning-executives-in-2023
3 Medicaid work requirement program updates,2024-03-25T18:37:10-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/3-medicaid-work-requirement-program-updates
Medicare spending on weight loss drugs through the roof,2024-03-25T14:43:39-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/medicare-spending-on-weight-loss-drugs-through-the-roof
Humana wants Medicare Advantage AI lawsuit thrown out,2024-03-22T21:18:24-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/humana-wants-medicare-advantage-ai-lawsuit-thrown-out
Blue Cross Blue Shield in the headlines: 5 updates,2024-03-22T20:58:31-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/blue-cross-blue-shield-in-the-headlines-5-updates-2
Lawyers made millions from Centene settlements: Report,2024-03-22T18:04:11-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/lawyers-made-millions-from-centene-settlements-report
10 providers seeking payer contracting talent,2024-03-22T15:50:22-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/10-providers-seeking-payer-contracting-talent-29
"Medicare Advantage rates 'baffling,' lawmakers say",2024-03-21T21:47:31-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/medicare-advantage-rates-baffling-lawmakers-say
3 ways Medicare Advantage affects primary care physicians,2024-03-21T21:34:25-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/3-ways-medicare-advantage-affects-primary-care-physicians
10 recent payer partnerships,2024-03-21T21:28:42-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/10-recent-payer-partnerships-2
Georgia Medicaid work requirement program spending more on consultants than care: Report,2024-03-21T21:18:04-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/georgia-medicaid-work-requirement-program-spending-more-on-consultants-than-care-report
"States lacking in Medicaid denial oversight, government watchdog says",2024-03-21T21:02:38-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/states-lacking-in-medicaid-denial-oversight-government-watchdog-says
Centene subsidiary to reimburse hospitals' health equity accreditation costs,2024-03-20T22:01:08-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/centene-subsidiary-to-reimburse-hospitals-health-equity-accreditation-costs
"Mount Sinai, UnitedHealthcare reach multiyear agreement",2024-03-20T14:19:12-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/mount-sinai-unitedhealthcare-reach-multiyear-agreement
The 10 best health insurance companies of 2024,2024-03-19T22:12:32-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/the-10-best-health-insurance-companies-of-2024
Highmark Health Plans posts $400M margin for 2023,2024-03-19T22:04:40-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/highmark-health-plans-posts-400m-margin-for-2023
CMS adds new ACO model: 5 things to know,2024-03-19T18:55:10-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/cms-adds-new-aco-model-5-things-to-know
Change attack update: What 15 payers discussed with the Biden administration,2024-03-19T13:13:42-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/change-attack-update-what-15-payers-discussed-with-the-biden-administration
Cigna's 5 highest-earning executives in 2023,2024-03-18T15:06:56-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/cignas-5-highest-earning-executives-in-2023
Payers to meet with federal officials over Change attack,2024-03-18T15:01:56-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/payers-to-meet-with-federal-officials-over-change-attack
5 trends shaping the future of Medicare Advantage,2024-03-15T21:54:56-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/5-trends-shaping-the-future-of-medicare-advantage
MedPAC: Medicare Advantage needs major overhaul — now,2024-03-15T21:36:48-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/medpac-medicare-advantage-needs-major-overhaul-now
Anthem loses out on Kentucky Medicaid contract after court ruling,2024-03-15T20:43:03-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/anthem-loses-out-on-kentucky-medicaid-contract-after-court-ruling
Hospital CEO blames Medicare Advantage for layoffs,2024-03-15T14:16:09-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/hospital-ceo-blames-medicare-advantage-for-layoffs
These 9 states cover Wegovy through Medicaid,2024-03-14T21:47:44-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/these-9-states-cover-wegovy-through-medicaid
Feds sue 6 health plans for allegedly hiding overpayments,2024-03-14T21:04:16-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/feds-sue-6-health-plans-for-allegedly-hiding-overpayments
Medicare Advantage in the headlines: 9 recent updates,2024-03-14T20:40:17-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/medicare-advantage-in-the-headlines-9-recent-updates-8
"Washington state fines Molina Healthcare for enrollment, billing errors",2024-03-13T21:53:44-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/washington-fines-molina-healthcare-for-enrollment-billing-errors
Medicare Advantage beneficiaries receive fewer days of at-home care: Study,2024-03-13T21:34:03-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/medicare-advantage-beneficiaries-receive-fewer-days-of-at-home-care-study
Inside Highmark's Change attack response,2024-03-13T19:43:50-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/inside-highmarks-change-attack-response
5 prior authorization updates,2024-03-13T18:28:42-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/5-prior-authorization-updates-3
Humana's top execs could collectively make $75M if M&A deal occurs,2024-03-13T13:58:56-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/humanas-top-execs-could-collectively-make-75m-if-m-a-deal-occurs
White House urges UnitedHealth CEO to do more in wake of Change attack,2024-03-12T21:43:02-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/white-house-urges-unitedhealth-ceo-to-do-more-in-wake-of-change-attack
9 states that could see more Medicare Advantage dollars in 2025,2024-03-12T20:30:01-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/9-states-that-could-see-more-medicare-advantage-dollars-in-2025
Why primary care may cost less in Medicare Advantage,2024-03-11T22:35:28-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/why-primary-care-may-cost-less-in-medicare-advantage
UnitedHealth Group in the headlines: 12 updates,2024-03-11T19:13:30-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/unitedhealth-group-in-the-headlines-10-updates-4
"HHS to UnitedHealth, payers: Help providers with cash flow following Change attack",2024-03-11T14:48:36-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/hhs-to-unitedhealth-payers-help-providers-with-cash-flow-challenges-following-change-attack
"Aetna, Humana, Elevance sign on to Biden's cancer coverage proposal",2024-03-08T23:00:49-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/aetna-humana-elevance-sign-on-to-bidens-cancer-coverage-proposal
Part D plans ramp up prior authorization,2024-03-08T19:29:42-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/medicare-part-d-plans-ramp-up-prior-authorization
Fastest growing Medicare Advantage startup plans | 2024,2024-03-08T19:20:44-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/fastest-growing-medicare-advantage-startup-plans-2024
5 things to know about Cigna's '1st of its kind' GLP-1 program,2024-03-08T15:49:50-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/5-things-to-know-about-cignas-1st-of-its-kind-glp-1-program
UnitedHealth details Change attack recovery timeline: 5 updates for payers,2024-03-08T14:44:05-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/unitedhealth-details-change-attack-recovery-timeline-5-updates-for-payers
Louisiana lawmakers look to make a future BCBS sale more difficult,2024-03-07T23:10:01-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/louisiana-lawmakers-look-to-make-a-future-bcbs-sale-more-difficult
3 BCBS companies reporting losses in 2023,2024-03-07T22:49:25-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/3-bcbs-companies-reporting-losses-in-2023
How 4 major payers have been affected by Change Healthcare attack,2024-03-07T15:38:52-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/how-4-major-payers-have-been-affected-by-change-healthcare-attack
The states where most Medicare beneficiaries have Medicare Advantage plans,2024-03-06T19:46:56-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/the-states-where-most-medicare-beneficiaries-have-medicare-advantage-plans
UnitedHealth faces proposed class-action suit over Change Healthcare data breach,2024-03-06T15:39:49-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/unitedhealth-faces-proposed-class-action-suit-over-change-healthcare-data-breach
Humana: Change hack affecting payers' ability to gauge medical expenses,2024-03-05T18:52:27-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/humana-change-hack-affecting-payers-ability-to-gauge-medical-expenses
Lifespan may no longer accept Cigna insurance,2024-03-05T15:45:37-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/lifespan-may-no-longer-accept-cigna-insurance
Centene's canceled East Coast HQ site attracting suitors,2024-03-05T15:32:13-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/centenes-canceled-east-coast-hq-site-attracting-suitors
Excellus BCBS posts first loss in 15 years,2024-03-05T15:22:44-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/excellus-bcbs-posts-first-loss-in-15-years
CMS ups 4 Elevance Medicare Advantage star ratings,2024-03-04T21:49:40-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/cms-ups-4-elevance-medicare-advantage-star-ratings
4 payers among world's 'most ethical' companies,2024-03-04T19:57:40-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/4-payers-among-worlds-most-ethical-companies-2
Appellate court to hear arguments in Texas ruling tossing ACA preventive care provision,2024-03-04T14:52:36-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/appellate-court-to-hear-arguments-in-texas-ruling-tossing-aca-preventive-care-provision
Aetna reports some disruptions from Change hack,2024-03-01T23:09:29-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/aetna-reports-some-disruptions-from-change-hack
BCBS Michigan sees narrow net gain amid 'massive' medical costs,2024-03-01T23:07:25-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/bcbs-michigan-sees-narrow-net-gain-amid-massive-medical-costs
10 providers seeking payer contracting talent,2024-03-01T22:05:20-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/10-providers-seeking-payer-contracting-talent-28
What UnitedHealth Group's CEO has said about the UHC-Optum relationship,2024-03-01T20:15:09-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/what-unitedhealth-groups-ceo-has-said-about-the-uhc-optum-relationship
Highmark launches diversified business segment,2024-02-29T23:12:14-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/highmark-launches-diversified-business-segment
Medicare Advantage in the headlines: 10 recent updates,2024-02-29T22:54:46-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/medicare-advantage-in-the-headlines-10-recent-updates-13
2 Medicaid work requirement updates,2024-02-29T22:44:47-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/2-medicaid-work-requirement-updates
Humana's 5 highest-earning executives in 2023,2024-02-28T22:34:57-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/humanas-5-highest-earning-executives-in-2023
5 payers join White House food security initiative,2024-02-28T22:32:13-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/5-payers-join-white-house-food-security-initiative
South Dakota puts Medicaid work requirement question on ballot,2024-02-28T19:41:14-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/south-dakota-puts-medicaid-work-requirement-question-on-ballot
Justice Department begins antitrust investigation into UnitedHealth,2024-02-27T22:39:05-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/justice-department-begins-antitrust-investigation-into-unitedhealth
10 states that could see largest Medicare Advantage cuts in 2025,2024-02-27T21:43:55-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/10-states-that-could-see-largest-medicare-advantage-cuts-in-2025
Medicare Advantage members could see $396 benefit cut in 2025,2024-02-26T23:20:23-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/medicare-advantage-members-could-see-396-benefit-cut-in-2025
Humana's plan to improve provider directory accuracy,2024-02-26T19:38:02-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/humanas-plan-to-improve-provider-directory-accuracy
UnitedHealth Group sets quarterly dividend,2024-02-26T19:14:01-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/unitedhealth-group-sets-quarterly-dividend
"UnitedHealth Group cybersecurity incident not expected to affect ratings: Fitch, Moody's",2024-02-26T14:36:11-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/unitedhealth-group-cybersecurity-incident-not-expected-to-affect-ratings-fitch
What 3 recent studies found about Medicare Advantage,2024-02-23T20:01:48-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/what-3-recent-studies-found-about-medicare-advantage
CVS puts additional $35M behind affordable housing in Hawaii,2024-02-23T16:49:58-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/cvs-puts-additional-35m-behind-affordable-housing-in-hawaii
"CMS proposal could have 'catastrophic impact' on Medicare, Medicaid research",2024-02-22T22:23:33-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/cms-proposal-could-have-catastrophic-impact-on-medicare-medicaid-research
Medicare Advantage enrollees report more prior authorization delays,2024-02-22T17:46:05-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/medicare-advantage-enrollees-report-more-prior-authorization-delays
"UnitedHealthcare: Employers should use SDOH data to improve employee health outcomes, costs",2024-02-22T15:02:03-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/unitedhealthcare-employers-should-use-sdoh-data-to-improve-employee-health-outcomes-costs
Meet Healthmap Solutions: Your Trusted Kidney Population Health Management Solution Provider,2024-02-21T19:59:21-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/meet-healthmap-solutions-your-trusted-kidney-population-health-management-solution-provider
OIG: Trinity's Medicare Advantage plan received estimated $3.7M in overpayments,2024-02-20T22:58:06-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/oig-trinitys-medicare-advantage-plan-received-estimated-3-7m-in-overpayments
Medicaid programs embrace doula care,2024-02-20T21:48:13-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/medicaid-programs-embrace-doula-care
Mississippi lawmakers push Medicaid expansion bill with work requirements,2024-02-19T22:48:39-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/mississippi-lawmakers-push-medicaid-expansion-bill-with-work-requirements
3 Medicaid redetermination updates,2024-02-19T22:32:13-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/3-medicaid-redetermination-updates
Medicare Advantage enrollees receive less postacute care: Study,2024-02-19T22:26:12-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/medicare-advantage-enrollees-receive-less-postacute-care-study
Blue Cross Blue Shield in the headlines: 5 updates,2024-02-19T21:10:50-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/blue-cross-blue-shield-in-the-headlines-5-updates
"Top challenges, opportunities facing insurance industry in 2024, per 350 execs",2024-02-19T20:29:18-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/top-challenges-opportunities-facing-insurance-industry-in-2024-per-350-execs
Medicare Advantage in the headlines: 10 recent updates,2024-02-16T19:35:00-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/medicare-advantage-in-the-headlines-10-recent-updates-12
Payers ranked by Medicaid losses in 2023,2024-02-15T22:31:01-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/payers-ranked-by-medicaid-losses-in-2023
Cigna to buy back $3.2B in stock,2024-02-15T21:25:15-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/cigna-to-buy-back-3-2b-in-stock
11 private equity-backed Medicare Advantage companies,2024-02-14T23:07:27-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/11-private-equity-backed-medicare-advantage-companies
Health insurance may have a looming climate change problem,2024-02-14T22:48:52-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/health-insurance-may-have-a-looming-climate-change-problem
Two big payer deals break up,2024-02-14T22:33:36-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/bcbs-louisiana-careoregon-deals-break-up
CVS' Aetna expands into home kidney care,2024-02-14T21:30:20-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/cvs-aetna-expands-into-kidney-care
5 prior authorization updates,2024-02-14T14:40:25-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/5-prior-authorization-updates-2
Humana sued over Medicare Advantage 340B payments,2024-02-13T22:53:20-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/humana-sued-over-medicare-advantage-340b-payments
UnitedHealth in the headlines: 12 updates,2024-02-13T19:11:28-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/unitedhealth-in-the-headlines-12-updates-2
Cigna adds HelloFresh benefits for employers,2024-02-13T16:24:30-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/cigna-adds-hellofresh-benefits-for-employers
Fewer private equity dollars flowing to Medicare Advantage,2024-02-13T15:46:27-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/fewer-private-equity-dollars-flowing-to-medicare-advantage
"FTC obtains $195M judgment against Florida payer, imposes healthcare ban over 'bogus' product",2024-02-12T21:44:05-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/ftc-obtains-195m-judgment-against-florida-payer-imposes-healthcare-ban-over-bogus-product
4 Medicaid expansion updates,2024-02-12T20:12:00-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/3-medicaid-expansion-updates
Kaiser Permanente reports health plan membership decline,2024-02-12T19:41:44-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/kaiser-permanente-reports-health-plan-membership-decline
Will insurers cut back on Medicare Advantage extras?,2024-02-12T18:16:11-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/will-insurers-cut-back-on-medicare-advantage-extras
BCBS plans ranked by profit margin in Q3,2024-02-09T21:00:47-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/bcbs-plans-ranked-by-profit-margin-in-q3
"6 insurers, 6 opinions on rising Medicare Advantage costs",2024-02-09T18:53:01-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/6-insurers-6-opinions-on-rising-medicare-advantage-costs
Medicare Advantage AI under more fire in Washington,2024-02-08T22:57:10-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/medicare-advantage-ai-under-more-fire-in-washington
Payers ranked by total membership | Q4 2023,2024-02-08T22:39:12-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/payers-ranked-by-total-membership-q4-2023
Payers ranked by Medicare Advantage membership | Q4 2023,2024-02-08T22:33:56-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/payers-ranked-by-medicare-advantage-membership-q4-2023
Humana study builds on health literacy efforts,2024-02-07T22:28:41-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/humana-study-builds-on-health-literacy-efforts
Payers ranked by medical loss ratios in 2023,2024-02-07T21:59:58-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/payers-ranked-by-medical-loss-ratios-in-2023
Georgia sues federal government over Medicaid work program,2024-02-07T21:33:53-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/georgia-sues-federal-government-over-medicaid-program
Big payers ranked by 2023 revenue,2024-02-07T21:27:50-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/big-payers-ranked-by-2023-revenue
"The 10 best payer tools, per KLAS",2024-02-07T19:01:43-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/the-10-best-payer-tools-per-klas
CVS Health cuts earnings guidance amid rising Medicare Advantage costs,2024-02-07T16:13:33-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/cvs-health-cuts-earnings-guidance-amid-rising-medicare-advantage-costs
Big payers ranked by 2023 profit,2024-02-07T15:14:48-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/big-payers-ranked-by-2023-profit-beckers
7 recent payer rebrands,2024-02-06T22:41:03-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/7-recent-payer-rebrands
Insurers split in '2 camps' on rising Medicare Advantage costs,2024-02-06T22:34:06-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/insurers-split-in-2-camps-on-medicare-advantage-costs
What's behind Florida's health insurance crisis?,2024-02-06T22:25:34-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/whats-behind-floridas-health-insurance-crisis
Centene records 88% marketplace enrollment growth in 2023,2024-02-06T14:46:35-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/centene-records-87-marketplace-enrollment-growth-in-2023
"CMS' 2025 Medicare Advantage rates lower than expected, Humana says",2024-02-05T23:19:14-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/cms-2025-medicare-advantage-rates-lower-than-expected-humana-says
J&J worker accuses employee health plan of drug benefits mismanagement,2024-02-05T22:35:41-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/j-j-worker-accuses-employee-health-plan-of-drug-benefits-mismanagement
"BCBS Massachusetts launches reproductive clinical team, expanded services",2024-02-05T21:32:16-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/bcbs-massachusetts-launches-reproductive-clinical-team-expanded-services
Complaint filed with FTC over Deloitte's Medicaid eligibility software,2024-02-02T22:59:22-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/complaint-filed-with-ftc-over-deloittes-medicaid-eligibility-software
Cigna isn't done with Medicare,2024-02-02T22:57:33-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/cigna-isnt-done-with-medicare
Cigna posts $1B profit in Q4,2024-02-02T14:31:16-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/cigna-posts-1b-profit-in-q4
Florida Blue adds Medicare-focused primary care center,2024-02-01T22:29:08-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/florida-blue-adds-medicare-focused-primary-care-center
Louisiana physicians vote 'no' on Elevance-BCBS deal,2024-02-01T21:15:24-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/louisiana-physicians-vote-no-on-elevance-bcbs-deal
"Mississippi prior authorization bill makes 2nd go-round, but governor has other plans",2024-02-01T15:31:50-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/mississippi-prior-authorization-bill-makes-2nd-go-round-but-governor-has-other-plans
15 sentenced in California for $40M health insurance fraud scheme,2024-02-01T14:32:59-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/15-sentenced-in-california-for-40m-health-insurance-fraud-scheme
Bridging the Health Equity Gap in Rural America Through Exceptional Provider Support,2024-02-01T13:14:12-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/bridging-the-health-equity-gap-in-rural-america-through-exceptional-provider-support
Medicare Advantage in the headlines: 9 recent updates,2024-01-30T19:24:42-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/medicare-advantage-in-the-headlines-9-recent-updates-7
States ranked by ACA enrollment growth in 2024,2024-01-30T19:22:44-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/states-ranked-by-aca-enrollment-growth-in-2024
Self-funded plans on the rise,2024-01-30T19:21:58-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/self-funded-plans-on-the-rise
ACO participation grows for 2024,2024-01-30T19:15:46-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/aco-participation-grows-for-2024
Dr. Sachin Jain: 5 fixes for Medicare Advantage,2024-01-30T16:17:46-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/dr-sachin-jain-5-fixes-for-medicare-advantage
Humana to add 3 more CenterWell markets,2024-01-30T15:17:33-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/humana-to-add-3-more-centerwell-markets
"No Surprises Act prevents 10M surprise bills, insurance groups say",2024-01-29T21:30:29-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/law-prevents-10m-surprise-bills-insurance-groups-say
Why Blue Shield of California's Medicaid plan is paying for members to get GEDs,2024-01-29T21:14:04-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/why-blue-shield-of-california-is-helping-medicaid-members-get-geds
Lawmakers urge more action on Medicare Advantage overpayments,2024-01-26T23:06:17-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/lawmakers-urge-more-action-on-medicare-advantage-overpayments
Has Medicare Advantage lost its luster?,2024-01-26T22:08:03-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/has-medicare-advantage-lost-its-luster
North Carolina state health plan drops weight loss drug coverage,2024-01-26T21:22:21-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/north-carolina-state-health-plan-drops-weight-loss-drug-coverage
Unprecedented Medicare Advantage costs drive steep losses for Humana,2024-01-25T16:28:36-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/unprecedented-medicare-advantage-costs-drive-steep-loss-for-humana
Humana posts $541M loss in fourth quarter,2024-01-25T14:25:36-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/humana-posts-541m-loss-in-fourth-quarter
Elevance projects flat Medicare Advantage membership in  2024,2024-01-24T16:49:11-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/elevance-projects-flat-medicare-advantage-membership-in-2024
Elevance Health posts $856M profit in fourth quarter,2024-01-24T14:33:12-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/elevance-health-posts-856m-profit-in-fourth-quarter
High-deductible plan enrollment shrinks for 1st time since 2013,2024-01-23T22:51:23-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/high-deductible-plan-enrollment-shrinks-for-1st-time-since-2013
Humana sent protected health information to the wrong address,2024-01-23T19:41:48-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/humana-sent-protected-health-information-to-the-wrong-address
Delaware committee advises against Medicare Advantage for state retirees,2024-01-22T22:10:27-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/committee-advises-against-medicare-advantage-for-delaware-state-retirees
Cigna's top healthcare trends for 2024,2024-01-22T22:07:51-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/cignas-top-healthcare-trends-for-2024
10 payers that lost Medicare Advantage members for 2024,2024-01-22T22:04:19-06:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/10-payers-that-lost-medicare-advantage-members-for-2024
